date,street,lat,lng,currentSpeed,freeFlowSpeed,confidence,roadClosure
2025-06-04T08:09,highwayTwo,34.0261335,-118.476072,15,22,1,false
2025-06-04T08:09,highwayTwo,34.0261335,-118.476072,15,22,1,false
2025-06-04T08:09,highwayTwo,34.0261335,-118.476072,15,22,1,false
2025-06-04T08:09,highwayTwo,34.0256252,-118.4778303,16,24,1,false
2025-06-04T08:09,highwayTwo,34.0256252,-118.4778303,16,24,1,false
2025-06-04T08:09,highwayTwo,34.0278022,-118.4741866,15,22,1,false
2025-06-04T08:09,highwayTwo,34.0349299,-118.463976,19,19,1,false
2025-06-04T08:09,highwayTwo,34.0405474,-118.4474101,13,13,1,false
2025-06-04T08:09,willshireBlvd,34.0175624,-118.4964529,6,14,1,false
2025-06-04T08:09,willshireBlvd,34.0198166,-118.4942322,9,12,0.98,false
2025-06-04T08:09,willshireBlvd,34.0198166,-118.4942322,9,12,0.98,false
2025-06-04T08:09,willshireBlvd,34.0234562,-118.4886807,12,19,0.98,false
2025-06-04T08:09,willshireBlvd,34.0284915,-118.4833412,16,16,1,false
2025-06-04T08:09,willshireBlvd,34.0337953,-118.4777273,18,18,1,false
2025-06-04T08:09,willshireBlvd,34.0472342,-118.4643287,14,14,1,false
2025-06-04T08:09,willshireBlvd,34.0513275,-118.4589269,24,30,1,false
2025-06-04T08:09,highwayTen,34.0176184,-118.481321,61,61,1,false
2025-06-04T08:09,highwayTen,34.0176184,-118.481321,61,61,1,false
2025-06-04T08:09,highwayTen,34.0192055,-118.476708,13,19,0.997479,false
2025-06-04T08:09,highwayTen,34.0260031,-118.4646028,68,68,1,false
2025-06-04T08:09,highwayTen,34.0296384,-118.4455725,68,68,1,false
2025-06-04T08:09,fourthSt,34.0196919,-118.4907066,14,25,1,false
2025-06-04T08:09,fourthSt,34.0174191,-118.4949884,8,11,0.99,false
2025-06-04T08:09,fourthSt,34.0151769,-118.4928233,13,13,1,false
2025-06-04T08:09,lincolnBlvd,34.021716,-118.4911839,11,17,0.97,false
2025-06-04T08:09,lincolnBlvd,34.020946,-118.4917534,11,17,0.97,false
2025-06-04T08:09,lincolnBlvd,34.0173022,-118.4889126,12,18,1,false
2025-06-04T08:09,fourteenthSt,34.0254804,-118.4863837,16,16,1,false
2025-06-04T08:09,fourteenthSt,34.0254804,-118.486383,16,16,1,false
2025-06-04T08:09,fourteenthSt,34.0261248,-118.4870393,14,17,0.98,false
2025-06-04T08:09,twentiethSt,34.0313657,-118.4814129,18,18,1,false
2025-06-04T08:09,twentiethSt,34.0313657,-118.4814129,18,18,1,false
2025-06-04T08:09,twentiethSt,34.0282196,-118.4786983,9,20,1,false
2025-06-04T08:09,twentieSixthSt,34.035359,-118.4775441,18,25,1,false
2025-06-04T08:09,twentieSixthSt,34.035359,-118.4775441,18,25,1,false
2025-06-04T08:09,twentieSixthSt,34.0315788,-118.4726944,12,23,1,false
2025-06-04T08:09,bundyDr,34.0430893,-118.463707,17,23,1,false
2025-06-04T08:09,bundyDr,34.0430893,-118.463707,17,23,1,false
2025-06-04T08:09,bundyDr,34.0353517,-118.4558876,19,29,1,false
2025-06-04T08:09,barringtonAve,34.0498258,-118.4608534,16,20,1,false
2025-06-04T08:09,barringtonAve,34.0456968,-118.4572626,14,20,1,false
2025-06-04T08:09,barringtonAve,34.0414742,-118.4543709,18,25,1,false
